response_id,prolific_id,freq_park_usage,park_run_walk,park_biking,park_skiing,park_team_sports,park_family_pets,park_before_after_bar,park_before_after_meal,park_drink_coffee,park_never_go,freq_buy_local_apparel,freq_buy_local_brands,freq_buy_posters,freq_drink_alcohol,freq_drink_coffee_tea,brand_loyalty
R_2X4hgtHrFoWLCr4,607ce9df61f8f44b9403edfc,0,1,0,0,0,1,0,0,0,0,2,3,1,1,4,4
R_3HM2GPRMk26QRJC,616f10014c04363731d398c0,0,0,0,0,0,0,0,0,0,1,2,2,1,5,6,4
R_4IxQpiKb7dvhu81,5a6570bd31b87a0001c700dd,1,1,1,0,0,1,0,1,1,0,1,2,1,2,6,1
R_2Egc7eDVeYHMSx4,60fe01fbab0316f090acb6b9,1,0,0,0,1,1,0,1,1,0,3,4,3,4,4,2
R_3iDPW6Wh0nfYmu4,60fcf15d6f86ffc5de817be3,0,1,0,0,0,1,0,0,0,0,3,2,1,1,1,3
R_1kLC9qscgx3NQF2,60b9bb59251f1f055eddce4b,1,1,0,0,0,1,0,1,1,0,2,3,4,3,6,2
R_bjPK2tatcRAdaiR,5c4ea6cc889752000156dd8e,0,1,0,0,0,1,0,0,0,0,2,3,3,4,6,4
R_2V3jzut4NinvpLy,5bbc0004ac45e6000131d380,1,1,1,0,0,1,0,0,1,0,2,3,1,5,6,2
R_3j37GBF0KGhncyH,60ff9a9aad04eb7ef6cae70a,1,1,1,0,0,1,1,0,1,0,2,6,1,5,6,4
R_3qVv1TwFCI51CHq,617612aa86abe09e0c69b7f2,0,1,0,0,1,0,0,0,0,0,1,2,1,5,6,3
R_popt0dWm0e4l529,60ff0a5380bb3896b3a0484a,0,0,0,0,0,0,0,0,0,1,2,3,1,6,6,2
R_3wSWwVQycYCec3n,5cf5ea4dea7a80000156520e,1,1,0,0,1,1,0,1,0,0,3,3,2,5,6,2
R_2uVPTxZz8Quxpcb,614f24578db9aab4bfb2809f,1,0,0,0,0,1,0,0,0,0,1,1,1,2,2,3
R_1H1ZDG9bZiUqs5n,61033627c32742424aeaaac1,0,1,0,0,0,1,0,1,0,0,2,2,3,6,1,3
R_8076N5SA6FJW4Nz,602b3e365bdba426935d62b3,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,4
R_1rqSSp1GSpUr80M,614f763c033e48b3649609ed,0,0,0,0,0,1,0,0,0,0,1,2,1,1,6,4
R_vPr8wRPAhRLihln,5f16fa8069dc2901cd1e0b05,1,1,1,0,0,1,0,0,0,0,2,4,1,3,6,2
R_1LboN3qf6iZa2lY,608b545dac4ff506d7f01f04,0,0,0,0,0,0,0,0,0,1,1,5,1,1,6,2
R_ebMorTQGtMB7cNb,5f985a6faf071810974a32f8,1,1,1,1,0,1,1,0,1,0,2,4,1,5,6,4
R_4VkOmY5kyDVnCyB,55ed87f0748092000baa9a0b,1,1,0,0,0,0,0,1,1,0,1,6,1,6,6,4
R_2w51K03jmgI1Bb7,606c9e1647fee0e506367aa2,0,1,0,0,0,1,0,1,1,0,1,6,1,6,4,4
R_xg9DQfOXlX6fHah,5d2d0fb9f4b87b0001f0acff,0,1,0,0,0,1,0,0,0,0,3,3,1,2,6,2
R_25AstUihJtNCaWb,6168b61ad8c0d63b37a92109,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,4
R_1n8ucm7iONmyN2u,608cea5eeac0a103af5c90ca,0,1,0,0,0,1,0,0,1,0,2,4,1,3,2,2
R_RqqRNV4lbkgGhQB,6143af8721d1445864c4f6c8,0,1,0,0,0,0,0,1,0,0,2,2,1,2,4,2
R_24ABC7rbhyuepUh,60fe3a34f7f4d5e48ad56af2,0,0,0,0,0,1,0,0,0,0,1,2,3,1,1,2
R_1UktpGlHwHFH9oB,605b8cf6c07b6842b5cab429,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,4
R_27kDUjP6vc02mbu,5b91f3f9d99ca20001ef6d8b,0,0,0,0,0,0,0,0,1,0,1,5,1,2,6,2
R_D0iv9h7wvMzaZZn,5967862f965b0b000108cf31,0,0,0,0,0,1,0,0,0,0,2,2,1,3,1,2
R_2Pj6VxXBLdF4UdW,60fdcc422f8092db02141b61,0,1,0,0,0,1,0,0,0,0,1,1,1,4,6,4
R_25swQNbvXlI0Mz8,61118f444d2e0a40a661484c,0,1,0,0,0,0,0,0,0,0,2,2,3,1,1,2
R_1o4NixNIrnKXDwk,5d4a03a7278a80001a4fa9df,0,1,0,0,0,1,0,0,0,0,1,6,1,6,6,2
R_2QS4vqvxwrcbVIY,5e72e0d8adc903240ac70891,1,1,0,0,0,0,0,0,0,0,3,3,1,6,6,2
R_1Ze1iOclTV8YUEx,5dd3e5b66d52253c0e37e402,0,1,0,0,0,1,0,0,0,0,2,2,1,4,6,3
R_3EPZbJHx2OT86TD,5a69b952f561b400011e188d,0,1,0,0,0,0,0,0,0,0,2,2,1,1,6,2
R_0oLOucIpP2VAEGR,6123031c595acde3f517cd33,0,1,0,0,0,1,0,0,0,0,1,2,1,1,3,2
R_3242kyhMBDSi9oI,60fdca1a87839971dfef0270,0,1,0,0,0,1,0,1,1,0,2,3,1,2,6,2
R_1Crwlu9ofMjgfbr,5953d01e4d560700016462da,1,0,0,0,0,1,0,0,0,0,1,5,1,1,6,2
R_1fjiNRCTPJkXAuW,601581439865f1060313be50,1,1,0,0,0,0,1,0,1,0,2,2,1,6,6,4
R_3fAxDNqdOxbQLh2,6084f9cdcf053dc83dd4acc4,0,1,0,0,0,0,0,0,0,0,2,3,1,1,3,3
R_2dyhEGnBlPeV3x8,6146b99c248d3ffdaa898d36,1,0,1,0,0,1,0,0,1,0,1,3,1,1,6,2
R_2icfdorSayyKDst,6111630ceaf62bcff1ebd7d2,0,1,1,1,0,1,0,0,0,0,3,3,3,4,3,2
R_uwtJN0TGZhsUI6J,611171b294ac05e4a3ff358b,0,1,1,0,0,1,0,0,1,0,2,2,3,3,6,2
R_Qd2if340m5nljmF,5c5924c553fba80001bd7ad9,0,1,0,0,0,0,0,0,0,0,1,2,3,1,6,4
R_2BmNDzUOSlfI3Ya,6175b531c813b4ecd88c5065,0,1,0,0,0,1,0,0,0,0,1,3,2,1,1,3
R_AohM3mgPBYYgBqh,614fca8245a450546842e487,1,1,1,0,0,1,0,0,0,0,1,4,1,2,6,4
R_3fSHkHZzRWRLMnh,5f5be09e16b98d18b3d213db,0,1,0,0,0,1,0,1,0,0,1,3,1,1,5,4
R_1CwJWnlsYm338B3,60d3bf7186e79d8be99b335e,0,1,0,0,0,0,0,1,0,0,1,3,2,6,6,3
R_RUlvj2NDOH2i90t,611e0d3c67d86e1ff9f58428,0,1,0,0,0,1,0,1,0,0,2,2,1,3,1,3
R_1itBwIa01eLbiag,60fe3355044fe7dbcfd05176,0,0,0,0,0,0,0,0,0,1,4,3,4,1,4,4
R_vdIiSFJjzErIt1L,60fcf6b8fcdfa822c55aaed7,0,1,0,0,0,0,0,0,0,0,2,2,1,1,5,2
R_2B9cO2erq3llixc,603202f68083d81c26b50318,0,1,0,0,0,1,0,0,0,0,2,4,1,1,6,1
R_2OOsTpvdvGniWoz,5ef0d115ebe9a70ee13bcd52,0,1,0,0,0,0,0,0,0,0,1,1,2,2,6,2
R_1EjqULa0XZvJrUv,5c5c70947676860001fff825,1,1,0,0,0,1,0,0,0,0,2,3,3,2,6,1
R_57iSDnbq0wuhtUl,611547dcc45adf9a07c60aea,1,0,0,0,0,1,0,0,0,0,2,4,1,6,6,1
R_3oROpOhEkZLbtIz,60bedc86a7fe71bd6092ea3d,0,0,0,0,0,1,0,0,0,0,2,2,1,2,5,4
R_2dRVvFKUX6kp4vR,5e916cb9e502b1498e8fc059,1,1,0,0,0,1,0,1,0,0,1,4,1,2,1,4
R_293RHK8oYhjxruA,614e7d01eb43e956288b13be,1,1,0,0,0,1,0,0,1,0,2,2,1,6,6,2
R_2Bt90P8TaIq3Ca2,5e544727059e3744ccdd4c3b,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,2
R_2AGoqdCsRTNOGKn,61078d759ef0f9074d119880,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,3
R_22kSgzCsefvncrF,6173841b9749c0451055cd45,1,1,0,0,1,1,0,0,0,0,2,3,2,1,1,2
R_ROhoSBE4kXBnIPL,615a91510a1a37d8c1a1ca7a,1,1,1,0,0,1,0,1,0,0,2,4,2,6,6,2
R_XLDR1IMt1hzgZxL,6153b1a7b6f3b29384967d34,0,0,0,0,0,1,0,0,0,0,1,2,2,1,1,4
