response_id,prolific_id,freq_park_usage,park_run_walk,park_biking,park_skiing,park_team_sports,park_family_pets,park_before_after_bar,park_before_after_meal,park_drink_coffee,park_never_go,freq_buy_local_apparel,freq_buy_local_brands,freq_buy_posters,freq_drink_alcohol,freq_drink_coffee_tea,brand_loyalty
R_1o1fjtw6fKdRHE6,5eaff2eac963900392c6dc48,Once in a few months or longer,Not selected,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Never,Once in a few months or longer,Never,Never,More than once per week,Depends upon the product/service
R_3j0ccCM8gTn97oA,5dd3e3cd5daaa63c5fdb7bb8,About once per month,Not selected,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Somewhere to go before or after a meal at a local restaurant,Not selected,Not selected,Once in a few months or longer,About once per month,1 per year,Never,Never,Highly loyal
R_2Setl1Sii1yP4bh,614e7196ef4fbb72f9a5223c,About once per month,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never,Once in a few months or longer,Never,About once per month,Never,Depends upon the product/service
R_1LbQXWrYDiN9ord,5ff94e71c59814230b0fb713,About once per month,Not selected,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Never,About once per month,Never,Once in a few months or longer,Once in a few months or longer,Somewhat loyal
R_1LtgNY815haReOy,5e97a2d74cb72e263342ecc9,Never,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don't go to the park,Never,Once in a few months or longer,Never,Never,Never,Depends upon the product/service
R_1HqnWn1noPQ0Znf,5d3a2d1da46f450019cdf5d3,About once per month,Not selected,Biking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,About once per week,Never,Never,About once per month,Highly loyal
R_2TTAkxMoFXoX2zJ,606e4eb2a56685e5593304cd,About once per month,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never,Never,Never,Several times per month,More than once per week,Depends upon the product/service
R_2QKjVlcllk69nud,615c777509f34c8977bc45a7,About once per week,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,About once per month,More than once per week,1 per year,About once per month,More than once per week,Somewhat loyal
R_XNFfgQNBzR6IBGh,610f326ceebada4236a67080,Once in a few months or longer,Running/walking,Biking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,About once per month,Never,About once per month,Several times per month,Somewhat loyal
R_3n3VBI5u7KPQZot,58d2cb10f5899100018a05b8,About once per month,Running/walking,Biking,Not selected,Playing team sports,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Several times per month,About once per week,2-3 per year,About once per week,More than once per week,Somewhat loyal
R_2R3xSoHwdNYAXt1,5dbf2bee3237043d5e7f98d7,About once per month,Not selected,Biking,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Someplace to go while I drink my coffee,Not selected,Once in a few months or longer,Once in a few months or longer,2-3 per year,More than once per week,More than once per week,Depends upon the product/service
R_2P06LNMlOwmPUCO,59dc458f77860e000151240e,Once in a few months or longer,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Never,About once per month,Never,Once in a few months or longer,Never,Somewhat loyal
R_1gHKY95PxXLdjaj,61648bb6ad1eceeee2c056ee,About once per month,Running/walking,Not selected,Not selected,Playing team sports,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,Never,Once in a few months or longer,More than once per week,Not loyal
R_2WuT9wtk60WEBHv,5898b6e256357700011c2c6b,Never,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don't go to the park,Never,Once in a few months or longer,Never,Never,More than once per week,Not loyal
R_UflX6jNDUa7w0Eh,610726b29bdbcfbbaeaa5c74,More than once per week,Running/walking,Biking,Cross-country skiing,Playing team sports,Spending time with family/pets,Not selected,Somewhere to go before or after a meal at a local restaurant,Someplace to go while I drink my coffee,Not selected,Once in a few months or longer,Several times per month,Never,Never,More than once per week,Somewhat loyal
R_3IPQ8C2HXjXFF0W,60d32e3148c380db202ec35c,About once per month,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Somewhere to go before or after a meal at a local restaurant,Not selected,Not selected,Never,Several times per month,Never,Once in a few months or longer,More than once per week,Somewhat loyal
R_2CBNk5tYF41HdSJ,606d162eaf1c27437d59a82c,Once in a few months or longer,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never,Once in a few months or longer,Never,Never,Once in a few months or longer,Depends upon the product/service
R_1cUqVATHjtgTeCS,57bf14513c449a000189c89a,Never,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Somewhere to go before or after a meal at a local restaurant,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,Never,Never,Once in a few months or longer,Depends upon the product/service
R_1g6fvJfvYJz3GKg,60ff13037d2dde9da3f054e2,Once in a few months or longer,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Somewhere to go before or after a meal at a local restaurant,Not selected,Not selected,Once in a few months or longer,About once per month,Never,Never,More than once per week,Highly loyal
R_D33IrbN1yiS5ywN,5fa941f4897b8d0670476392,Once in a few months or longer,Not selected,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,Never,Once in a few months or longer,More than once per week,Depends upon the product/service
